run,success,message,w,C,NLL
1,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.969164701036793,-0.05998324775597504,459859.5747071226
2,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.969164701036793,-0.05998324775597504,459859.5747071226
3,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.969164701036793,-0.05998324775597504,459859.5747071226
