run,success,message,t,C,NLL
1,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,30.928317723416296,0.0019218255091868316,397227.61944266607
2,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,30.928317723416296,0.0019218255091868316,397227.61944266607
3,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,30.928317723416296,0.0019218255091868316,397227.61944266607
